Feed,Cases,Standard Message,Summary Message,type,language
RenelFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like Milk, Egg White, Soya chunks.",D,EN
RenelFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato.",D,EN
RenelFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
RenelFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
RenelFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have more than required protein content.",I,EN
RenelFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein.",I,EN
RenelFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,-,I,EN
PregnaFeed,"11, 21, 31, 41, 12, 22, 32, 42",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Severe weakness, gidiness in you . your baby is at risk of low birthweight , decreased brain development, premature birth.Food intake should be immediately increased",S,EN
PregnaFeed,"51, 61, 71, 52, 62, 72",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to weakness, nausea, indigestion in you . your baby is at risk of low birthweight , decreased brain development, premature birth.Food intake should be immediately increased",S,EN
PregnaFeed,"13, 23, 33,",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to mild weakness, Lowered Immunity , skin ,hair and joint problems in you. your baby is at risk of poor development of bones and muscles.",S,EN
PregnaFeed,"53, 63, 73",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to mild weakness, nausea, and indigestion in you",S,EN
PregnaFeed,14,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Low Albumin, Infections, risk of High Blood Sugar. your baby is at high risk of poor development of bones and muscles.",S,EN
PregnaFeed,"24, 34",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weak muscles, joint problems, hairfall, skin problems in you.your baby is at mild risk of poor development of bones and muscles",S,EN
PregnaFeed,"44,54",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,Congratulations!! Keep It Up!,S,EN
PregnaFeed,"64, 74",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Metabolic stress, nausea and indigestion in you. ",S,EN
PregnaFeed,"15, 25",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to more Weight Gain,high blood sugar, hairfall, skin problems in you. your baby is at high risk of poor development of bones and muscles",S,EN
PregnaFeed,35,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to more Weight Gain,Weaker Joints and Muscles, hair and skin problems in you.",S,EN
PregnaFeed,"45, 46,47",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,This may lead to more Weight Gain in you. Decrease food intake gradually,S,EN
PregnaFeed,"55, 56, 57",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain,high blood sugar, Indigestion in you.Decrease food intake gradually",S,EN
PregnaFeed,"65, 75",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to nausea and indigestion,Weight Gain in you.Decrease food intake gradually",S,EN
PregnaFeed,"16, 26, 17, 27",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar, Weak muscles, joint problems, hairfall, skin problems in you.your baby is at high risk of poor development of bones and muscles.",S,EN
PregnaFeed,"36, 37",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to Weight Gain, risk of High Blood Sugar,Lower immunity. Decrease food intake gradually",S,EN
PregnaFeed,"66, 67, 76, 77",Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,"This may lead to extreme Weight Gain, nausea and indigestion,Inflammation, Metabolic Stress, Kidney Overload in you.decrease food intake gradually ",S,EN
PregnaFeed,43,Your {{meal}} has {calories_level_name} calorie and {protein_level_name} protein.,this may lead to weakness and weight loss,S,EN
PregnaFeed,"11, 21, 31, 41, 12, 22, 32, 42",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
PregnaFeed,"51, 61, 71, 52, 62, 72",Increase the consumption of ,"Nutrient Dense food like Ice Cream, Sweets, Fruit juices, Ghee, Dates and Nuts. Eat More frequent meals.",D,EN
PregnaFeed,"13, 23, 33, 43, 14, 24, 34, 15, 25, 35, 16, 26, 17, 27",Increase the consumption of ,"protein Rich food like Milk, Egg White, Soya chunks.",D,EN
PregnaFeed,"53, 63, 73, 64, 74",Increase the consumption of ,"Carboydrate Rich food like Fruits - Apple, Banana, Orange. Vegetables - Beetroot, Carrot, Sweet Potato.",D,EN
PregnaFeed,"44, 54, 45, 46, 47, 55, 56, 57, 65, 75, 66, 67, 76, 77, 36, 37",Increase the consumption of ,-,D,EN
PregnaFeed,"11, 21, 31, 41, 12, 22, 32, 42, 51, 13, 23, 33, 43, 44",Decrease the consumption of ,-,I,EN
PregnaFeed,"61, 71, 52, 62, 72, 53, 63, 73, 64, 74, 54, 55, 65, 75, 66, 67, 76, 77",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have more than required protein content.",I,EN
PregnaFeed,"14, 24, 34, 15, 25, 35, 16, 26, 36, 17, 27, 37,",Decrease the consumption of ,"{{Item 1}}, {{item 2}}. These have relatively higher calories and lower protein.",I,EN
PregnaFeed,"45, 46, 47, 56, 57",Decrease the consumption of ,-,I,EN
